Question Number,Answer 1,Answer 2,Similarity Score,Marks Obtained
1.1,1. Gram sabha functions to settle petty local disputes 2. works upon consensus basis. 3. consist of all registered votes of village.,1. Gram sabha functions to settle petty local disputes 2. works upon consensus basis. 3. consist of all registered votes of village.,1.0,5
1.2,1. It was formed on 2002 by competition Commission Act replacing MATP dated 14 October 2. It works to impact competitive and fair practice 3. Removes monopolies.,1. It was formed on 2002 by competition Commission Act replacing MATP dated 14 October 2. It works to impact competitive and fair practice 3. Removes monopolies.,1.0,5
1.3,"In a democracy, while majority rule is a core principle, it's crucial to recognize that even with 51% support, there's always a risk of suppressing the voices and perspectives of the remaining 49%. This highlights the importance of protecting minority rights and ensuring inclusive decision-making processes to prevent the marginalization of any group.","In a democracy, while majority rule is a core principle, it's crucial to recognize that even with 51% support, there's always a risk of suppressing the voices and perspectives of the remaining 49%. This highlights the importance of protecting minority rights and ensuring inclusive decision-making processes to prevent the marginalization of any group.",1.0,5
1.4,"These are formed by 20-30 members of similes background. Its registered or non registered, male a female group. consist of - farmers, women etc 4 Provides money, loan etc.","These are formed by 20-30 members of similes background. Its registered or non registered, male a female group. consist of - farmers, women etc 4 Provides money, loan etc.",1.0,5
1.5,"Yellow journalism refers to a style of newspaper reporting that emphasizes sensationalism over facts, often using exaggeration and emotional appeals to attract readers. It emerged in the late 19th century during a circulation war between newspapers like the New York World and the New York Journal. Key characteristics include lurid headlines, exaggerated stories, and the use of pictures and graphics to attract attention.","Yellow journalism refers to a style of newspaper reporting that emphasizes sensationalism over facts, often using exaggeration and emotional appeals to attract readers. It emerged in the late 19th century during a circulation war between newspapers like the New York World and the New York Journal. Key characteristics include lurid headlines, exaggerated stories, and the use of pictures and graphics to attract attention.",1.0,5
1.6,1. Its mainly lean towards democratic socialism. 2. Its concept Based on social- economic equality. 3. The joint ownership of public- private enterprises.,1. Its mainly lean towards democratic socialism. 2. Its concept Based on social- economic equality. 3. The joint ownership of public- private enterprises.,1.0,5
1.7,- It was given by mahatma Gandhji as concept of Sarvodaya It means the rich people are trustees of their property. It should be distributed among poors.,- It was given by mahatma Gandhji as concept of Sarvodaya It means the rich people are trustees of their property. It should be distributed among poors.,1.0,5
1.8,"It's situated in Narmada district, Gujrat: Constructed in memory of Sarder Vallabh Bhai Patel It reflects national day of unity on 31 october","It's situated in Narmada district, Gujrat: Constructed in memory of Sarder Vallabh Bhai Patel It reflects national day of unity on 31 october",1.0,5
1.9,"Its social - to eliminate povesty, unemployment Economic equality Potential decentralisation Cultural ocvivpal Educational upliftment Spiritual awakening Thought changing","Its social - to eliminate povesty, unemployment Economic equality Potential decentralisation Cultural ocvivpal Educational upliftment Spiritual awakening Thought changing",1.0,5
1.10,"He is political leader, Philosopher, freedom fighter 2. known for Integral Humanism theory of Advast vedanta (3) He advocated Sarvodaya, swaraj etc.","He is political leader, Philosopher, freedom fighter 2. known for Integral Humanism theory of Advast vedanta (3) He advocated Sarvodaya, swaraj etc.",1.0,5
